# Starter list — general academic vocabulary, rough band guesses.
# Replace with a properly sourced, licence-checked frequency list.
# Format: word<TAB>band   (1 = most frequent, 5 = least)
acquire	2
adequate	2
allocate	3
ambiguous	4
anticipate	2
arbitrary	4
coherent	3
compile	3
comprise	3
conceive	3
constrain	3
contradict	3
converge	4
deteriorate	4
deviate	4
diminish	3
discern	4
disperse	4
elaborate	3
eliminate	2
emerge	2
empirical	4
enhance	2
entail	4
exploit	3
facilitate	3
fluctuate	4
formulate	3
hinder	3
implement	2
implicit	4
incentive	3
inevitable	3
infer	3
inhibit	4
integrate	2
intervene	3
justify	2
mitigate	4
negligible	4
obscure	4
persist	3
plausible	4
precede	3
presume	3
prohibit	3
refute	4
reinforce	3
reluctant	3
resolve	2
scrutinize	4
speculate	3
substantiate	5
sustain	2
undermine	3
underpin	4
uniform	3
validate	3
versatile	4
viable	3
